combinedFlightNumber,Large_delays,slight_delays,moderate_delays,total_cancellations,
AA 1439,0,0,11,0,
F9 1335,0,0,11,0,
WN 943,0,0,11,0,
DL 5420,0,0,11,0,
WN 1633,0,0,10,0,
B6 2711,0,0,10,0,
F9 1168,0,0,10,0,
AA 1078,0,0,10,0,
DL 3777,0,0,10,0,
F9 1044,0,0,10,0,
B6 2534,0,0,10,0,
B6 2103,0,0,10,0,
AA 2030,0,0,10,0,
B6 1766,0,0,10,0,
AA 1733,0,0,10,0,
B6 1401,0,0,10,0,
B6 384,0,0,10,0,
B6 1712,0,0,10,0,
B6 353,0,0,10,0,
DL 1297,0,0,9,0,
AA 3174,0,0,9,0,
WN 2694,0,0,9,0,
B6 571,0,0,9,0,
B6 2670,0,0,9,0,
AA 4835,0,0,9,8,
B6 125,0,0,9,0,
F9 800,0,0,9,0,
AA 3719,0,0,9,0,
DL 4252,0,0,9,0,
F9 2425,0,0,9,0,
AA 1841,0,0,9,0,
AA 5559,0,0,9,0,
AA 367,0,0,9,0,
B6 1973,0,0,9,0,
B6 648,0,0,9,0,
B6 2092,0,0,9,0,
AA 1796,0,0,9,0,
B6 798,0,0,9,0,
DL 2804,0,0,9,0,
B6 1849,0,0,9,0,
B6 553,0,0,9,0,
B6 383,0,0,9,0,
B6 655,0,0,9,0,
B6 136,0,0,9,0,
B6 135,0,0,9,0,
DL 3981,0,0,9,0,
B6 1418,0,0,8,0,
B6 65,0,0,8,0,
F9 2095,0,0,8,0,
AA 2945,0,0,8,0,
DL 4686,0,0,8,0,
B6 2569,0,0,8,0,
B6 658,0,0,8,0,
B6 1880,0,0,8,0,
AA 5768,0,0,8,0,
NK 1243,0,0,8,0,
B6 2473,0,0,8,0,
UA 3494,0,0,8,0,
B6 348,0,0,8,0,
AA 5037,0,0,8,0,
B6 633,0,0,8,0,
NK 360,0,0,8,0,
B6 1342,0,0,8,0,
AA 5345,0,0,8,0,
F9 1330,0,0,8,0,
B6 1134,0,0,8,0,
